,team1,team2,winner,margin,ground,match_date
177,India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017"
178,Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017"
179,India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017"
180,West Indies,India,no result,,Port of Spain,"Jun 23, 2017"
181,West Indies,India,India,105 runs,Port of Spain,"Jun 25, 2017"
182,West Indies,India,India,93 runs,North Sound,"Jun 30, 2017"
183,West Indies,India,West Indies,11 runs,North Sound,"Jul 2, 2017"
184,West Indies,India,India,8 wickets,Kingston,"Jul 6, 2017"
185,Sri Lanka,India,India,9 wickets,Dambulla,"Aug 20, 2017"
186,Sri Lanka,India,India,3 wickets,Pallekele,"Aug 24, 2017"
187,Sri Lanka,India,India,6 wickets,Pallekele,"Aug 27, 2017"
188,Sri Lanka,India,India,168 runs,Colombo (RPS),"Aug 31, 2017"
189,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Sep 3, 2017"
190,India,Australia,India,26 runs,Chennai,"Sep 17, 2017"
191,India,Australia,India,50 runs,Kolkata,"Sep 21, 2017"
192,India,Australia,India,5 wickets,Indore,"Sep 24, 2017"
193,India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017"
194,India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017"
195,India,New Zealand,New Zealand,6 wickets,Mumbai,"Oct 22, 2017"
196,India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017"
197,India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017"
198,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,"Dec 10, 2017"
199,India,Sri Lanka,India,141 runs,Mohali,"Dec 13, 2017"
200,India,Sri Lanka,India,8 wickets,Visakhapatnam,"Dec 17, 2017"
201,South Africa,India,India,6 wickets,Durban,"Feb 1, 2018"
202,South Africa,India,India,9 wickets,Centurion,"Feb 4, 2018"
203,South Africa,India,India,124 runs,Cape Town,"Feb 7, 2018"
204,South Africa,India,South Africa,5 wickets,Johannesburg,"Feb 10, 2018"
205,South Africa,India,India,73 runs,Port Elizabeth,"Feb 13, 2018"
206,South Africa,India,India,8 wickets,Centurion,"Feb 16, 2018"
207,England,India,India,8 wickets,Nottingham,"Jul 12, 2018"
208,England,India,England,86 runs,Lord's,"Jul 14, 2018"
209,England,India,England,8 wickets,Leeds,"Jul 17, 2018"
210,Hong Kong,India,India,26 runs,Dubai (DSC),"Sep 18, 2018"
211,India,Pakistan,India,8 wickets,Dubai (DSC),"Sep 19, 2018"
212,Bangladesh,India,India,7 wickets,Dubai (DSC),"Sep 21, 2018"
213,India,Pakistan,India,9 wickets,Dubai (DSC),"Sep 23, 2018"
214,Afghanistan,India,tied,,Dubai (DSC),"Sep 25, 2018"
215,Bangladesh,India,India,3 wickets,Dubai (DSC),"Sep 28, 2018"
216,India,West Indies,India,8 wickets,Guwahati,"Oct 21, 2018"
217,India,West Indies,tied,,Visakhapatnam,"Oct 24, 2018"
218,India,West Indies,West Indies,43 runs,Pune,"Oct 27, 2018"
219,India,West Indies,India,224 runs,Mumbai (BS),"Oct 29, 2018"
220,India,West Indies,India,9 wickets,Thiruvananthapuram,"Nov 1, 2018"
221,Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019"
222,Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019"
223,Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019"
224,New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019"
225,New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019"
226,New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019"
227,New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019"
228,New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019"
229,India,Australia,India,6 wickets,Hyderabad (Deccan),"Mar 2, 2019"
230,India,Australia,India,8 runs,Nagpur,"Mar 5, 2019"
231,India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019"
